id,G_Played,Pts,Reb,Asist
1,64,3.9,1.5,2.4
2,4,3.8,1.3,0.3
3,41,8.3,6.4,1.9
4,64,10.2,2.8,1.7
5,52,2.8,1.7,0.3
6,80,10.6,2.2,2.2
7,73,10.6,6.6,0.4
8,79,26.8,4.0,2.0
9,80,21.1,6.3,3.1
10,80,21.4,9.0,7.3
11,82,10.8,5.2,1.1
12,65,5.0,3.4,0.6
13,65,9.5,2.8,6.3
14,40,2.0,1.9,0.3
15,79,3.5,2.4,0.4
16,28,3.3,0.5,0.4
17,23,9.6,3.5,1.5
18,77,7.3,7.3,0.4
19,78,23.2,9.2,3.0
20,78,4.1,3.3,0.9
21,4,5.5,1.8,2.8
22,82,3.9,5.5,0.4
23,82,21.8,4.6,7.1
24,28,3.9,1.4,1.6
25,12,1.8,0.8,0.0
26,71,5.7,1.6,1.3
27,82,6.9,1.5,3.0
28,9,2.4,0.4,1.2
29,1,0.0,0.0,0.0
30,13,5.0,1.7,2.0
31,3,1.3,1.0,1.0
32,20,1.7,1.8,0.3
33,28,2.6,2.1,0.5
34,78,4.4,6.6,0.8
35,12,3.8,0.9,2.0
36,65,6.0,1.6,0.8
37,67,3.0,1.0,2.4
38,72,15.0,4.6,1.8
39,72,5.1,4.1,0.6
40,28,10.6,3.2,2.4
41,82,7.1,11.1,0.9
42,5,2.6,0.6,0.4
43,73,5.1,5.7,0.3
44,17,4.8,2.0,0.9
45,7,2.9,2.0,0.7
46,47,4.8,1.7,0.9
47,53,6.7,1.5,0.4
48,77,14.9,8.0,1.6
49,21,1.9,1.5,0.2
50,67,12.6,9.0,2.4
51,33,1.5,1.5,0.2
52,81,20.7,4.2,3.1
53,77,15.9,5.3,4.1
54,82,3.8,4.0,0.3
55,4,1.3,1.0,0.0
56,2,3.0,1.0,1.0
57,4,2.8,1.3,0.3
58,9,2.8,1.8,0.0
59,79,14.7,2.4,4.0
60,70,6.8,5.2,1.3
61,59,2.8,3.4,0.6
62,2,1.5,1.5,0.0
63,56,1.7,2.0,0.4
64,48,4.8,1.0,2.1
65,32,4.0,1.3,0.7
66,77,13.8,2.7,2.8
67,82,14.4,2.8,10.5
68,68,4.8,2.3,0.5
69,82,8.7,2.3,1.4
70,58,4.9,1.7,2.0
71,80,18.7,8.5,1.6
72,76,3.0,1.3,2.0
73,45,4.1,2.8,0.2
74,13,5.0,0.5,1.4
75,20,1.7,0.9,0.2
76,68,8.0,8.3,1.5
77,82,4.5,1.0,2.4
78,36,5.0,1.1,0.9
79,82,9.7,5.8,1.2
80,76,16.1,4.0,2.6
81,72,1.4,2.8,0.3
82,20,2.0,1.6,0.3
83,66,7.3,1.8,2.3
84,69,11.9,4.3,2.9
85,69,8.3,1.6,1.8
86,8,0.1,0.8,0.4
87,41,3.7,5.2,0.6
88,23,3.4,2.0,1.4
89,75,5.0,1.8,0.9
90,75,7.3,4.0,1.2
91,55,10.9,4.5,9.0
92,8,2.4,1.0,0.3
93,41,13.4,13.5,1.2
94,25,3.6,1.5,1.0
95,82,14.5,2.9,4.4
96,82,13.9,3.9,3.0
97,80,17.2,4.1,3.4
98,52,8.2,2.7,1.0
99,27,2.4,2.4,0.2
100,3,2.0,0.3,0.3
101,80,13.4,6.2,2.5
102,73,4.3,2.2,0.6
103,79,14.5,4.0,4.1
104,41,4.6,1.7,1.6
105,72,20.1,10.3,4.6
106,82,5.2,1.3,2.2
107,82,18.1,8.8,2.7
108,70,2.9,2.1,0.4
109,47,19.0,7.9,0.6
110,82,12.2,8.3,1.7
111,42,4.5,5.6,0.7
112,62,18.0,6.0,5.7
113,58,4.2,4.8,0.6
114,79,11.6,4.1,1.6
115,80,7.2,1.5,3.2
116,62,3.5,1.8,1.1
117,3,0.0,0.3,0.3
118,80,10.4,9.7,0.7
119,82,16.6,3.6,2.0
120,81,15.1,4.0,3.2
121,81,3.9,7.3,0.5
122,65,9.3,2.9,6.1
123,55,6.1,2.1,0.9
124,14,1.4,0.6,0.5
125,24,10.5,5.9,1.2
126,77,7.2,2.5,4.1
127,67,6.6,1.4,2.7
128,1,0.0,0.0,0.0
129,75,16.2,8.1,2.1
130,52,14.9,4.2,2.6
131,81,10.8,4.1,1.5
132,74,6.3,5.4,0.7
133,79,6.7,1.5,1.3
134,79,10.6,3.4,1.4
135,75,8.0,4.5,0.7
136,19,1.1,0.7,0.4
137,56,9.8,5.4,0.7
138,50,14.6,6.6,1.3
139,53,19.2,13.5,4.7
140,12,0.3,1.1,0.3
141,80,10.8,9.8,2.8
142,19,4.6,3.4,0.7
143,79,5.2,2.8,4.1
144,76,3.3,2.6,0.4
145,81,20.2,4.1,8.8
146,36,10.8,4.5,3.2
147,45,3.0,2.8,0.3
148,24,12.5,2.0,3.4
149,8,2.4,0.8,0.0
150,48,1.9,1.9,0.6
151,80,13.3,11.6,1.4
152,25,14.0,8.4,1.9
