id,Team
1,Houston Rockets
2,Washington Wizards
3,Memphis Grizzlies
4,L.A.Lakers
5,Denver Nuggets
6,Orlando Magic
7,Charlotte Hornets
8,Milwake Bucks
9,Detroit Pistons
10,Portland Trail Blazers
11,Dallas Mavericks
12,Utah Jazz
13,Oklahoma City Thunder
14,Boston Celtic
15,Indiana Pacers
16,San Antonio Spurs
17,Miami Heat
18,Atlanta Hawks
19,Brooklyn Nets
20,L.A.Clippers
21,Golden State
22,Philadelphia 76ers
23,New York Knicks
24,Toronto Raptors
25,Phoneix Suns
26,Minnesota Timberwolves
27,Chicago Bulls
28,Sacramento Kings
29,Cleveland Cavaliers
30,New Orleands Pelicans
