id,Season,Decade
1,1996,1996/2005
2,1996,1996/2005
3,1996,1996/2005
4,1996,1996/2005
5,1996,1996/2005
6,1996,1996/2005
7,1996,1996/2005
8,1996,1996/2005
9,1996,1996/2005
10,1996,1996/2005
11,1996,1996/2005
12,1996,1996/2005
13,1996,1996/2005
14,1996,1996/2005
15,1996,1996/2005
16,1996,1996/2005
17,1996,1996/2005
18,1996,1996/2005
19,1996,1996/2005
20,1996,1996/2005
21,1996,1996/2005
22,1996,1996/2005
23,1996,1996/2005
24,1996,1996/2005
25,1996,1996/2005
26,1996,1996/2005
27,1996,1996/2005
28,1996,1996/2005
29,1996,1996/2005
30,1996,1996/2005
31,1996,1996/2005
32,1996,1996/2005
33,1996,1996/2005
34,1996,1996/2005
35,1996,1996/2005
36,1996,1996/2005
37,1996,1996/2005
38,1996,1996/2005
39,1996,1996/2005
40,1996,1996/2005
41,1996,1996/2005
42,1996,1996/2005
43,1996,1996/2005
44,1996,1996/2005
45,1996,1996/2005
46,1996,1996/2005
47,1996,1996/2005
48,1996,1996/2005
49,1996,1996/2005
50,1996,1996/2005
51,1996,1996/2005
52,1996,1996/2005
53,1996,1996/2005
54,1996,1996/2005
55,1996,1996/2005
56,1996,1996/2005
57,1996,1996/2005
58,1996,1996/2005
59,1996,1996/2005
60,1996,1996/2005
61,1996,1996/2005
62,1996,1996/2005
63,1996,1996/2005
64,1996,1996/2005
65,1996,1996/2005
66,1996,1996/2005
67,1996,1996/2005
68,1996,1996/2005
69,1996,1996/2005
70,1996,1996/2005
71,1996,1996/2005
72,1996,1996/2005
73,1996,1996/2005
74,1996,1996/2005
75,1996,1996/2005
76,1996,1996/2005
77,1996,1996/2005
78,1996,1996/2005
79,1996,1996/2005
80,1996,1996/2005
81,1996,1996/2005
82,1996,1996/2005
83,1996,1996/2005
84,1996,1996/2005
85,1996,1996/2005
86,1996,1996/2005
87,1996,1996/2005
88,1996,1996/2005
89,1996,1996/2005
90,1996,1996/2005
91,1996,1996/2005
92,1996,1996/2005
93,1996,1996/2005
94,1996,1996/2005
95,1996,1996/2005
96,1996,1996/2005
97,1996,1996/2005
98,1996,1996/2005
99,1996,1996/2005
100,1996,1996/2005
101,1996,1996/2005
102,1996,1996/2005
103,1996,1996/2005
104,1996,1996/2005
105,1996,1996/2005
106,1996,1996/2005
107,1996,1996/2005
108,1996,1996/2005
109,1996,1996/2005
110,1996,1996/2005
111,1996,1996/2005
112,1996,1996/2005
113,1996,1996/2005
114,1996,1996/2005
115,1996,1996/2005
116,1996,1996/2005
117,1996,1996/2005
118,1996,1996/2005
119,1996,1996/2005
120,1996,1996/2005
121,1996,1996/2005
122,1996,1996/2005
123,1996,1996/2005
124,1996,1996/2005
125,1996,1996/2005
126,1996,1996/2005
127,1996,1996/2005
128,1996,1996/2005
129,1996,1996/2005
130,1996,1996/2005
131,1996,1996/2005
132,1996,1996/2005
133,1996,1996/2005
134,1996,1996/2005
135,1996,1996/2005
136,1996,1996/2005
137,1996,1996/2005
138,1996,1996/2005
139,1996,1996/2005
140,1996,1996/2005
141,1996,1996/2005
142,1996,1996/2005
143,1996,1996/2005
144,1996,1996/2005
145,1996,1996/2005
146,1996,1996/2005
147,1996,1996/2005
148,1996,1996/2005
149,1996,1996/2005
150,1996,1996/2005
151,1996,1996/2005
152,1996,1996/2005
153,1996,1996/2005
154,1996,1996/2005
155,1996,1996/2005
156,1996,1996/2005
157,1996,1996/2005
158,1996,1996/2005
159,1996,1996/2005
160,1996,1996/2005
161,1996,1996/2005
162,1996,1996/2005
163,1996,1996/2005
164,1996,1996/2005
165,1996,1996/2005
166,1996,1996/2005
167,1996,1996/2005
168,1996,1996/2005
169,1996,1996/2005
170,1996,1996/2005
171,1996,1996/2005
172,1996,1996/2005
173,1996,1996/2005
174,1996,1996/2005
175,1996,1996/2005
176,1996,1996/2005
177,1996,1996/2005
178,1996,1996/2005
179,1996,1996/2005
180,1996,1996/2005
181,1996,1996/2005
182,1996,1996/2005
183,1996,1996/2005
184,1996,1996/2005
185,1996,1996/2005
186,1996,1996/2005
187,1996,1996/2005
188,1996,1996/2005
189,1996,1996/2005
190,1996,1996/2005
191,1996,1996/2005
192,1996,1996/2005
193,1996,1996/2005
194,1996,1996/2005
195,1996,1996/2005
196,1996,1996/2005
197,1996,1996/2005
198,1996,1996/2005
199,1996,1996/2005
200,1996,1996/2005
201,1996,1996/2005
202,1996,1996/2005
203,1996,1996/2005
204,1996,1996/2005
205,1996,1996/2005
206,1996,1996/2005
207,1996,1996/2005
208,1996,1996/2005
209,1996,1996/2005
210,1996,1996/2005
211,1996,1996/2005
212,1996,1996/2005
213,1996,1996/2005
214,1996,1996/2005
215,1996,1996/2005
216,1996,1996/2005
217,1996,1996/2005
218,1996,1996/2005
219,1996,1996/2005
220,1996,1996/2005
221,1996,1996/2005
222,1996,1996/2005
223,1996,1996/2005
224,1996,1996/2005
225,1996,1996/2005
226,1996,1996/2005
227,1996,1996/2005
228,1996,1996/2005
229,1996,1996/2005
230,1996,1996/2005
231,1996,1996/2005
232,1996,1996/2005
233,1996,1996/2005
234,1996,1996/2005
235,1996,1996/2005
236,1996,1996/2005
237,1996,1996/2005
238,1996,1996/2005
239,1996,1996/2005
240,1996,1996/2005
241,1996,1996/2005
242,1996,1996/2005
243,1996,1996/2005
244,1996,1996/2005
245,1996,1996/2005
246,1996,1996/2005
247,1996,1996/2005
248,1996,1996/2005
249,1996,1996/2005
250,1996,1996/2005
251,1996,1996/2005
252,1996,1996/2005
253,1996,1996/2005
254,1996,1996/2005
255,1996,1996/2005
256,1996,1996/2005
257,1996,1996/2005
258,1996,1996/2005
259,1996,1996/2005
260,1996,1996/2005
261,1996,1996/2005
262,1996,1996/2005
263,1996,1996/2005
264,1996,1996/2005
265,1996,1996/2005
266,1996,1996/2005
267,1996,1996/2005
268,1996,1996/2005
269,1996,1996/2005
270,1996,1996/2005
271,1996,1996/2005
272,1996,1996/2005
273,1996,1996/2005
274,1996,1996/2005
275,1996,1996/2005
276,1996,1996/2005
277,1996,1996/2005
278,1996,1996/2005
279,1996,1996/2005
280,1996,1996/2005
281,1996,1996/2005
282,1996,1996/2005
283,1996,1996/2005
284,1996,1996/2005
285,1996,1996/2005
286,1996,1996/2005
287,1996,1996/2005
288,1996,1996/2005
289,1996,1996/2005
290,1996,1996/2005
291,1996,1996/2005
292,1996,1996/2005
293,1996,1996/2005
294,1996,1996/2005
295,1996,1996/2005
296,1996,1996/2005
297,1996,1996/2005
298,1996,1996/2005
299,1996,1996/2005
300,1996,1996/2005
301,1996,1996/2005
302,1996,1996/2005
303,1996,1996/2005
304,1996,1996/2005
305,1996,1996/2005
306,1996,1996/2005
307,1996,1996/2005
308,1996,1996/2005
309,1996,1996/2005
310,1996,1996/2005
311,1996,1996/2005
312,1996,1996/2005
313,1996,1996/2005
314,1996,1996/2005
315,1996,1996/2005
316,1996,1996/2005
317,1996,1996/2005
318,1996,1996/2005
319,1996,1996/2005
320,1996,1996/2005
321,1996,1996/2005
322,1996,1996/2005
323,1996,1996/2005
324,1996,1996/2005
325,1996,1996/2005
326,1996,1996/2005
327,1996,1996/2005
328,1996,1996/2005
329,1996,1996/2005
330,1996,1996/2005
331,1996,1996/2005
332,1996,1996/2005
333,1996,1996/2005
334,1996,1996/2005
335,1996,1996/2005
336,1996,1996/2005
337,1996,1996/2005
338,1996,1996/2005
339,1996,1996/2005
340,1996,1996/2005
341,1996,1996/2005
342,1996,1996/2005
343,1996,1996/2005
344,1996,1996/2005
345,1996,1996/2005
346,1996,1996/2005
347,1996,1996/2005
348,1996,1996/2005
349,1996,1996/2005
350,1996,1996/2005
351,1996,1996/2005
352,1996,1996/2005
353,1996,1996/2005
354,1996,1996/2005
355,1996,1996/2005
356,1996,1996/2005
357,1996,1996/2005
358,1996,1996/2005
359,1996,1996/2005
360,1996,1996/2005
361,1996,1996/2005
362,1996,1996/2005
363,1996,1996/2005
364,1996,1996/2005
365,1996,1996/2005
366,1996,1996/2005
367,1996,1996/2005
368,1996,1996/2005
369,1996,1996/2005
370,1996,1996/2005
371,1996,1996/2005
372,1996,1996/2005
373,1996,1996/2005
374,1996,1996/2005
375,1996,1996/2005
376,1996,1996/2005
377,1996,1996/2005
378,1996,1996/2005
379,1996,1996/2005
380,1996,1996/2005
381,1996,1996/2005
382,1996,1996/2005
383,1996,1996/2005
384,1996,1996/2005
385,1996,1996/2005
386,1996,1996/2005
387,1996,1996/2005
388,1996,1996/2005
389,1996,1996/2005
390,1996,1996/2005
391,1996,1996/2005
392,1996,1996/2005
393,1996,1996/2005
394,1996,1996/2005
395,1996,1996/2005
396,1996,1996/2005
397,1996,1996/2005
398,1996,1996/2005
399,1996,1996/2005
400,1996,1996/2005
401,1996,1996/2005
402,1996,1996/2005
403,1996,1996/2005
404,1996,1996/2005
405,1996,1996/2005
406,1996,1996/2005
407,1996,1996/2005
408,1996,1996/2005
409,1996,1996/2005
410,1996,1996/2005
411,1996,1996/2005
412,1996,1996/2005
413,1996,1996/2005
414,1996,1996/2005
415,1996,1996/2005
416,1996,1996/2005
417,1996,1996/2005
418,1996,1996/2005
419,1996,1996/2005
420,1996,1996/2005
421,1996,1996/2005
422,1996,1996/2005
423,1996,1996/2005
424,1996,1996/2005
425,1996,1996/2005
426,1996,1996/2005
427,1996,1996/2005
428,1996,1996/2005
429,1996,1996/2005
430,1996,1996/2005
431,1996,1996/2005
432,1996,1996/2005
433,1996,1996/2005
434,1996,1996/2005
435,1996,1996/2005
436,1996,1996/2005
437,1996,1996/2005
438,1996,1996/2005
439,1996,1996/2005
440,1996,1996/2005
441,1996,1996/2005
442,1997,1996/2005
443,1997,1996/2005
444,1997,1996/2005
445,1997,1996/2005
446,1997,1996/2005
447,1997,1996/2005
448,1997,1996/2005
449,1997,1996/2005
450,1997,1996/2005
451,1997,1996/2005
452,1997,1996/2005
453,1997,1996/2005
454,1997,1996/2005
